artist_id,genres,followers,artist_popularity
0NIIxcxNHmOoyBx03SfTCD,alternative r&b,3128064,79
7CajNmpbOovFoOoasH2HaY,edm,23204270,86
7gHzR22tDNSWGS4HkvvPgw,brazilian trap|trap funk|brazilian funk|funk consciente|trap,762357,64
0jPHHnU8GUWEF7rwPE9osY,sexy drill,355280,64
7u9115faVQY8xNrCXqY0zx,brazilian funk|funk de bh,38467,51
0PFtn5NtBbbUNbU9EAmIWF,yacht rock|soft rock,3858928,77
3y24n3XhZ96wgwRXjvS17T,west coast hip hop|g-funk,2006534,71
0ZCO8oVkMj897cKgFH7fRW,cumbia|cumbia sonidera|salsa,8860600,79
6AvnL2gWjNYs1hRVJx4huK,opm|p-pop|harana|parang|pinoy indie|kundiman|pinoy r&b,1969113,68
1dKdetem2xEmjgvyymzytS,banda|corrido|norteño|sierreño|grupera|ranchera|música mexicana,16041582,84
25uiPmTg16RbhZWAqwLBy5,hyperpop|art pop,6584938,84
5J7rXWjtn5HzUkJ4Jet8Fr,,1611022,77
0xj9MJx9r0wO2o4aqdergP,brazilian funk,268534,68
3fMbdgg4jU18AjLCKBhRSm,,38773006,87
0YinUQ50QDB7ZxSCLyQ40k,,2021308,73
0z4gvV4rjIZ9wHck67ucSV,,6251975,85
4PzYKhC14sTJNEr0dzoo0d,brazilian pop|funk pop|brazilian funk,6656740,74
1Yj5Xey7kTwvZla8sqdsdE,reggaeton chileno|chilean trap|chilean mambo|reggaeton,7434281,84
7f5Zgnp2spUuuzKplmRkt7,tropical house,3125804,77
2rMFPjySMqkgBajkLKL6zo,dembow,405647,64
3UTF2no3muGdiFXVujl94i,latin afrobeats,1215434,81
1chOgh5tgwfiyJ2zhUHwBj,opm|pinoy r&b|p-pop|harana|pinoy hip hop|parang,3031551,69
0NKDgy9j66h3DLnN8qu1bB,new wave|synthpop,2395178,71
2OhUNb01gLwygOizYvTm0e,argentine trap|cuarteto|cumbia,916343,68
0xliTEbFfy5HQHvsTknTkX,synthpop,1122090,72
3AA28KZvwAUcZuOKwyblJQ,,15055849,84
5L1lO4eRHmJ7a0Q6csE5cT,k-pop,13883807,78
6DARBhWbfcS9E4yJzcliqQ,punjabi pop|punjabi hip hop|bhangra|desi hip hop|desi,24490656,83
3FUY2gzHeIiaesXtOAdB7A,soft pop,4564388,75
0VRj0yCOv2FXJNP47XQnx5,,8269860,79
47z98pKd71yIbgXwe9LPVC,indonesian pop|indonesian indie,7372595,71
1iCnM8foFssWlPRLfAbIwo,,1864475,79
4Ge9GwmWnOQsohwPTrXyHc,techengue|afro house|latin house,192338,62
2qk9voo8llSGYcZ6xrBzKx,,5841572,78
1eIYP01ZLPKEExhcV6xFgt,seresta|arrocha|piseiro|forró|brega|sertanejo,1208171,72
7n2wHs1TKAczGzO7Dd2rGr,,46101930,83
1KCSPY1glIKqW2TotWuXOR,,18376988,80
6B1hSmaLdOvChinK2Z7gfi,reggaeton,226593,65
0BHm7qbh3ENxvXzkQAG7MP,piseiro|sertanejo|forró|arrocha|agronejo|sertanejo universitário,4068205,73
2DaxqgrOhkeH0fpeiQq2f4,britpop|madchester,12844100,82
6VuMaDnrHyPL1p4EHjYLi7,soft pop|pop,25692031,82
1mBydYMVBECdDmMfE2sEUO,gujarati pop|bollywood|hindi pop|desi|gujarati garba,8276964,83
1HY2Jd0NmPuamShAr6KMms,art pop|pop,43948114,91
4U7lXyKdSf1JbM1aXvsodC,latin pop,4709011,75
1NjxFrpEGZTV2Ny0OJxeWu,indonesian indie|indonesian pop,1842725,73
4nVa6XlBFlIkF6msW57PHp,malayalam hip hop|desi hip hop,916242,74
2NfSBtmWe7oPw1EmetJVso,reggaeton|latin afrobeats|urbano latino|pop urbano,1038633,71
5rSXSAkZ67PYJSvpUpkOr7,,6867043,79
6Ff53KvcvAj5U7Z1vojB5o,,3152146,74
3uwAm6vQy7kWPS2bciKWx9,bedroom pop,8982381,74
20wkVLutqVOYrc0kxFs7rA,,12297546,88
0JRPF8WIKUtSO2IUYfrcuh,sertanejo|agronejo|sertanejo universitário,122359,67
1SXhEXzOTF7YeuQX59m7pT,piseiro|forró|sertanejo|arrocha|brega|seresta,3904256,77
55ru5B05MMBunM1tvH7Di6,cuarteto|cumbia,591427,64
3YQKmKGau1PzlVlkL1iodx,,25999273,85
3E12tRURRvPfHz0hAMCFYc,,2365905,84
1gl0S9pS0Zw0qfa14rDD3D,indie,1818797,71
7ITMCzIU9uII8gwRg8JAhc,hyperpop|nightcore,4701489,77
0L8ExT028jH3ddEcZwqJJ5,funk rock|alternative rock|rock,23676389,85
7t0rwkOPGlDPEhaOcVtOt9,,5622962,78
5eumcnUkdmGvkvcsx1WFNG,corrido|corridos tumbados|corridos bélicos|electro corridos|dembow belico|música mexicana,12865565,90
4gvjmrtzydbMpyJaXUtwvP,,1612062,77
0fTSzq9jAh4c36UVb4V7CB,,3395171,86
4DdkRBBYG6Yk9Ka8tdJ9BW,,5804673,79
3c0gDdb9lhnHGFtP4prQpn,k-pop,7144313,85
699OTQXzgjhIYAHMy9RyPD,rage rap,15568535,89
0eHQ9o50hj6ZDNBt6Ys1sD,reggaeton|urbano latino|latin,9040821,79
5HK6QtizXJzCmoYTkvFRik,,291957,61
04mzq9GH08zOBRdV2gzmXm,electro corridos|corrido|dembow belico|corridos bélicos|corridos tumbados,1037055,63
6aoGgTKGqtsjj48ymcNs4Z,brazilian funk|funk consciente|trap funk,2515407,78
3eVa5w3URK5duf6eyVDbu9,k-pop,13965824,81
250b0Wlc5Vk0CoUsaCY84M,k-pop,13171383,84
0NyzfcGDZZ6GM25EBG9BYK,,142019,58
5uwa6tAMMfNbBFIHiI6NV4,,908902,76
5YqI7p8zYsOpKJtjxYdOce,electro corridos|dembow belico|corrido|corridos tumbados|corridos bélicos,3334272,86
4LazDzEGshEUn9D2zbm6w2,,15404,53
1b7AEdUSudOQoZF5ebUxCL,,3029928,76
42MRYPhQfcEXqb18dl5ERX,,37863,49
7ohlPA8dRBtCf92zaZCaaB,,1093587,71
3p7PcrEHaaKLJnPUGOtRlT,sertanejo|sertanejo universitário|arrocha|agronejo,31356642,87
5vV3bFXnN6D6N3Nj4xRvaV,k-pop,9917662,80
